model_name,split,sample_id,summarizer,f1_score,precision,recall,length_ratio,wer,medical_wer
whisper_tiny,train,413,mt5_small,0.06451612903225806,0.2,0.038461538461538464,0.19230769230769232,0.1481481481481481,0.0
whisper_tiny,train,413,bert_extractive,0.8235294117647058,0.84,0.8076923076923077,0.9615384615384616,0.1481481481481481,0.0
whisper_tiny,train,316,mt5_small,0.0,0.0,0.0,0.4482758620689655,0.1470588235294117,0.0
whisper_tiny,train,316,bert_extractive,0.5490196078431373,0.6363636363636364,0.4827586206896552,0.7586206896551724,0.1470588235294117,0.0
whisper_tiny,train,1034,mt5_small,0.0,0.0,0.0,0.09090909090909091,0.0909090909090909,0.0
whisper_tiny,train,1034,bert_extractive,0.8636363636363636,0.8636363636363636,0.8636363636363636,1.0,0.0909090909090909,0.0
whisper_tiny,train,65,mt5_small,0.0,0.0,0.0,0.21739130434782608,0.2962962962962963,0.0
whisper_tiny,train,65,bert_extractive,0.6086956521739131,0.6086956521739131,0.6086956521739131,1.0,0.2962962962962963,0.0
whisper_tiny,train,1024,mt5_small,0.0,0.0,0.0,0.38095238095238093,0.4761904761904761,0.0
whisper_tiny,train,1024,bert_extractive,0.6190476190476191,0.6190476190476191,0.6190476190476191,1.0,0.4761904761904761,0.0
whisper_tiny,train,661,mt5_small,0.0,0.0,0.0,0.1724137931034483,0.2903225806451613,0.0
whisper_tiny,train,661,bert_extractive,0.5490196078431373,0.6363636363636364,0.4827586206896552,0.7586206896551724,0.2903225806451613,0.0
whisper_tiny,train,175,mt5_small,0.0,0.0,0.0,0.25806451612903225,0.1612903225806451,0.0
whisper_tiny,train,175,bert_extractive,0.7741935483870968,0.7741935483870968,0.7741935483870968,1.0,0.1612903225806451,0.0
whisper_tiny,train,824,mt5_small,0.05128205128205128,0.0625,0.043478260869565216,0.6956521739130435,0.7916666666666666,0.0
whisper_tiny,train,824,bert_extractive,0.5454545454545454,0.5714285714285714,0.5217391304347826,0.9130434782608695,0.7916666666666666,0.0
whisper_tiny,train,649,mt5_small,0.0,0.0,0.0,0.19230769230769232,0.0357142857142857,0.0
whisper_tiny,train,649,bert_extractive,0.9019607843137256,0.92,0.8846153846153846,0.9615384615384616,0.0357142857142857,0.0
whisper_tiny,train,231,mt5_small,0.0,0.0,0.0,0.3684210526315789,0.1,0.0
whisper_tiny,train,231,bert_extractive,0.8421052631578947,0.8421052631578947,0.8421052631578947,1.0,0.1,0.0
whisper_tiny,train,198,mt5_small,0.08888888888888889,0.11764705882352941,0.07142857142857142,0.6071428571428571,0.0333333333333333,0.0
